City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
43,Klaksvik,FO,38.32,overcast clouds,62.2266,-6.589,Airbnb rooms
47,Nikolskoye,RU,34.88,light snow,59.7035,30.7861,Tourist House - Sablino
61,Kodiak,US,38.71,moderate rain,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
69,Olafsvik,IS,34.2,snow,64.8945,-23.7142,Hotel Olafsvik
72,South River,US,33.15,broken clouds,40.4465,-74.386,"Holiday Inn Express & Suites Tower Center New Brunswick, an IHG Hotel"
86,Ordzhonikidze,KZ,31.53,overcast clouds,52.4411,61.7408,Tomiris
104,Yarovoye,RU,30.47,overcast clouds,52.9273,78.58,KirOFF Park
119,Cap-Aux-Meules,CA,35.65,fog,47.3821,-61.8597,Château Madelinot
135,Eyrarbakki,IS,39.25,overcast clouds,63.863,-21.1481,Guesthouse 77
148,Montague,US,30.79,overcast clouds,42.5356,-72.5351,Two Rivers Bed and Breakfast
149,Terney,RU,31.3,clear sky,45.0503,136.6092,"Hotel ""Ternay"""
152,Kenai,US,34.03,overcast clouds,60.5544,-151.2583,Aspen Extended Stay Suites
190,Saint Anthony,US,30.92,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
202,Dandong,CN,37.29,clear sky,40.1292,124.3947,Yiranju Farmstay
203,Bethel,US,30.58,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
213,Ilulissat,GL,35.62,few clouds,69.2167,-51.1,Hotel Arctic
216,Parfino,RU,37.27,overcast clouds,57.9731,31.6481,Zabava U Sergeyevicha
239,Aktau,KZ,36.18,overcast clouds,43.65,51.2,Silk Way Hotel
247,Bonavista,CA,37.09,overcast clouds,48.6499,-53.1147,Sweet Sharons bnb
260,Zenzeli,RU,36.12,broken clouds,45.9241,47.0474,"Gostinitsa ""Zvezdnaya"""
263,Trofors,NO,30.07,snow,65.5333,13.4063,Utpå Neset AS
283,Sorland,NO,33.76,overcast clouds,67.667,12.6934,Sjybrygga fiskecamp
298,Kewanee,US,32.79,overcast clouds,41.2456,-89.9248,AmericInn by Wyndham Kewanee
301,Havre-Saint-Pierre,CA,30.56,mist,50.2334,-63.5986,Auberge Niapiskau
324,Langxiang,CN,31.66,overcast clouds,46.95,128.8833,Pearl Hotel
353,Keflavik,IS,39.63,overcast clouds,64.0049,-22.5624,Hotel Keflavik
356,Atbasar,KZ,32.99,light snow,51.8,68.3333,Гостиничный Комплекс Saad
360,Paamiut,GL,32.29,clear sky,61.994,-49.6678,Pistut
380,Vestmanna,FO,36.52,overcast clouds,62.1564,-7.1664,Vestmanna Camping
386,Geilo,NO,30.7,overcast clouds,60.5333,8.2076,Havsdalsgrenda Geilo
392,Evanston,US,32.38,few clouds,42.0411,-87.6901,Hilton Garden Inn Chicago North Shore/Evanston
402,Golkoy,TR,34.2,broken clouds,40.6875,37.6178,Golkoy Ogretmenevi
441,Nemuro,JP,31.84,clear sky,43.3236,145.575,Hotel Nemuro Kaiyoutei
449,Vrangel,RU,35.74,clear sky,42.7297,133.0839,"Отель ""БАЛИ"""
450,Songjianghe,CN,31.08,scattered clouds,42.1859,127.479,Sijisheng Fashion Guest House
452,Sitka,US,35.49,broken clouds,57.0531,-135.33,Westmark Sitka
461,Harnosand,SE,32.0,overcast clouds,62.6323,17.9379,First Hotel Stadt
467,Seoul,KR,36.84,clear sky,37.5683,126.9778,롯데호텔 서울
499,Qostanay,KZ,33.78,overcast clouds,53.1667,63.5833,Hotel Fessla
512,Urumqi,CN,38.35,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
540,Fort-Shevchenko,KZ,37.18,overcast clouds,44.5086,50.263,Oasis hotel Bautino
548,Zasosna,RU,38.41,overcast clouds,50.6307,38.3965,Biryuch
556,Meihekou,CN,39.49,broken clouds,42.5272,125.6753,如家宾馆
567,Vanderhoof,CA,33.39,few clouds,54.0166,-124.0198,Vanderhoof Inn
572,Vestmannaeyjar,IS,38.39,overcast clouds,63.4427,-20.2734,Glamping & Camping
621,Juneau,US,36.84,overcast clouds,58.3019,-134.4197,"Baranof Downtown, BW Signature Collection"
622,Staryy Urukh,RU,39.58,broken clouds,43.3404,44.0187,Комната для намаза
629,Ketchikan,US,39.15,broken clouds,55.3422,-131.6461,Snow's Cove Lodge
630,Gravdal,NO,31.26,overcast clouds,68.1214,13.5031,Skreda Rorbusuiter
638,Ardabil,IR,35.15,fog,38.2498,48.2933,Hotel ideal
639,Kingisepp,RU,35.22,overcast clouds,59.3733,28.6134,Narva
642,Qasigiannguit,GL,35.51,few clouds,68.8193,-51.1922,Almost HOME
648,Hamilton,US,38.21,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
658,Fairview,US,32.23,broken clouds,40.8126,-73.999,Homewood Suites by Hilton Edgewater-NYC Area
680,Grafton,US,30.18,broken clouds,42.207,-71.6856,The Grafton Inn
685,Oktyabrskoye,RU,30.34,overcast clouds,43.0645,44.7417,Prolesok Mini-hotel
692,Sarkand,KZ,37.08,few clouds,45.41,79.9186,Гостиница Сарканд
703,Guzelyurt,TR,37.45,clear sky,38.2772,34.3719,Cappadocia Ihlara Mansions
709,Yugorsk,RU,31.24,overcast clouds,61.3133,63.3319,Arkobaleno Mini-hotel
